2015-12-31T18:24:05.574+0200 W -        [initandlisten] Detected unclean shutdown - C:\Users\baris\Desktop\swe573\swe573\mongodb\data\mongod.lock is not empty.
2016-01-01T21:32:43.402+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:33:43.406+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:34:43.411+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:35:43.404+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:36:44.545+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:37:43.408+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:38:43.408+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:39:43.408+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:40:43.414+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:41:43.413+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:42:43.483+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:43:43.426+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:44:43.429+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:45:43.437+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:46:43.434+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:47:43.435+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:48:43.441+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:49:43.432+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:50:43.436+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:51:43.438+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:52:43.440+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:53:43.441+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:54:43.441+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:55:43.455+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:56:43.448+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:57:43.442+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:58:43.446+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:59:43.447+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:00:43.457+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:01:43.451+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:02:43.453+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:03:43.453+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:04:43.453+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:05:43.455+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:06:43.455+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:07:43.461+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:08:43.459+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:09:43.460+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:10:43.461+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:11:43.463+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:12:43.462+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:13:43.472+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:14:43.463+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:15:43.468+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:16:43.471+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:17:43.467+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:18:43.469+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:19:43.494+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:20:43.476+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:21:43.488+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:22:43.475+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:23:43.482+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:24:43.486+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:25:43.476+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:26:43.479+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:27:43.483+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:28:43.488+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:29:43.482+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:30:43.483+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:31:43.487+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:32:43.486+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:33:43.486+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:34:43.495+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:35:43.495+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:36:43.487+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:37:43.500+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:38:43.492+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:39:43.495+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:40:43.496+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:41:43.510+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:42:49.304+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:55:02.814+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:56:02.807+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:57:02.814+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:58:02.810+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T22:59:02.815+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:00:02.823+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:01:02.817+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:02:02.818+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:03:02.827+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:04:02.823+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:05:02.823+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:06:02.823+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:07:02.833+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:08:02.829+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:09:02.830+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:10:02.829+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:11:02.829+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:12:02.827+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:13:02.832+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:14:02.841+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:15:02.831+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:16:02.832+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:17:02.834+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:18:02.835+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:19:02.837+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:20:02.842+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:21:02.838+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:22:02.842+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:23:02.841+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:24:02.842+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:25:02.845+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:26:02.843+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:27:02.849+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:28:02.854+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:29:02.849+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:30:02.851+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:31:02.856+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:32:02.854+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:33:02.855+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:34:02.857+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T23:35:02.863+0200 I COMMAND  [DataFileSync] flushing diag log
